cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score
0,0,5.798757001314562,5.818262482987797,0.0,45.395,9.065,1.0,1.0,0.5,9.0
1,0,5.380349501459943,5.408553301862295,0.0,45.395,9.071422667267173,1.0,1.0,0.5,9.0
2,0,4.9775835390413725,5.0019163971579195,0.0,45.395,9.077845334534347,1.0,1.0,0.5,9.0
3,0,4.571037108214991,4.596060503602292,0.0,45.395,9.08426800180152,1.0,1.0,0.5,9.0
4,0,4.1301883041379615,4.210836257215024,0.0,45.395,9.090690669068694,1.0,1.0,0.5,9.0
5,0,3.7051600061061243,3.8522093465031957,0.0,45.395,9.097113336335868,1.0,1.0,0.5,9.0
6,0,3.302066927775326,3.5279427789817235,0.0,45.395,9.103536003603041,1.0,1.0,0.5,9.0
7,0,2.929976351376942,3.2478542879504424,0.0,45.395,9.109958670870215,1.0,0.9766587837923141,0.5,8.906635135169257
8,0,2.6022215428317352,3.023749224608899,0.0,45.395,9.116381338137389,1.0,0.8674071809439118,0.5,8.469628723775648
9,0,2.3375270313100462,2.868675163360052,0.0,45.395,9.122804005404562,1.0,0.7791756771033488,0.5,8.116702708413396
10,0,2.1592101380701734,2.7950488085511638,0.0,45.395,9.129226672671736,1.0,0.7197367126900578,0.5,7.878946850760231
11,0,2.089503375878605,2.5318443764160095,0.0,45.395,9.13564933993891,1.0,0.6965011252928682,0.5,7.7860045011714725
12,0,2.1286036068943726,2.2153027275162454,0.0,45.395,9.142072007206083,1.0,0.7095345356314575,0.5,7.83813814252583
13,0,1.62966586292866,1.8075594927398606,0.0,45.395,9.148494674473257,1.0,0.5432219543095533,0.5,7.172887817238214
14,0,1.1342387014179107,1.310968984150928,0.0,45.395,9.15491734174043,1.0,0.3780795671393036,0.5,6.512318268557214
15,7,0.650394607146855,0.82132907668801,2.228169203286535,45.395,9.161340009007604,0.9606741573033708,0.216798202382285,0.6,5.909889438742624
16,9,0.25565204854892265,0.35572904854734855,2.864788975654116,45.395,9.167762676274778,0.949438202247191,0.08521734951630755,0.4,4.938622207053994
17,19,0.10252706515833333,0.10980565742467836,6.047887837492023,45.395,9.174185343541952,0.8932584269662921,0.03417568838611111,0.0,3.709736461409613
18,13,0.5941618388109349,0.5988807373498846,4.138028520389279,45.395,9.180608010809125,0.9269662921348315,0.19805394627031161,0.0,4.500080953620572
19,1,0.9361273221214887,1.0440006820411218,0.3183098861837907,45.395,9.1870306780763,0.9943820224719101,0.3120424407071629,1.0,7.2256978527162925
20,0,1.080274960643036,1.1588057478219118,0.0,45.395,9.193453345343473,1.0,0.36009165354767864,0.5,6.440366614190714
21,12,0.6590769129716822,0.7297920003882274,3.819718634205488,45.395,9.199876012610646,0.9325842696629214,0.21969230432389408,0.09999999999999998,4.809106295947262
22,17,0.36349199998409004,0.37146676974009796,5.411268065124442,45.395,9.20629867987782,0.9044943820224719,0.12116399999469668,0.0,4.102633528068675
23,17,0.026421291057553902,0.10259544791605853,5.411268065124442,45.395,9.212721347144994,0.9044943820224719,0.008807097019184635,0.0,3.6532059161666264
24,10,0.5279085861113322,0.5873328746653149,3.183098861837907,45.395,9.219144014412167,0.9438202247191011,0.17596952870377738,0.30000000000000004,5.079159013691514
25,0,1.0307887396851918,1.0781314485664144,0.0,45.395,9.225566681679341,1.0,0.3435962465617306,0.5,6.374384986246922
26,0,1.088633118405627,1.2374043714456997,0.0,45.395,9.231989348946515,1.0,0.36287770613520903,0.5,6.451510824540836
27,0,1.2873831089016836,1.5390371466566755,0.0,45.395,9.238412016213688,1.0,0.42912770296722785,0.5,6.716510811868911
28,0,1.6233763282264957,1.8407324517594092,0.0,45.395,9.244834683480862,1.0,0.5411254427421652,0.5,7.164501770968661
29,0,2.029558661911656,2.21304851843774,0.0,45.395,9.251257350748036,1.0,0.676519553970552,0.5,7.706078215882207
30,0,2.4715639253142956,2.6220464792360887,0.0,45.395,9.25768001801521,1.0,0.8238546417714319,0.5,8.295418567085727
