cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score,population,population_1km,demand_score,opportunity_score_original
721,3,0.4232874294968732,0.5835676915975985,0.954929658551372,45.48959459459456,9.109958670870215,0.970873786407767,0.141095809832291,1.0,5.143880086309013,246.55955505371094,46002.04782104492,0.2693237658629462,6.447878384960233
722,5,0.6314564515427064,0.7576556100109326,1.5915494309189535,45.48959459459456,9.116381338137389,0.9514563106796116,0.2104854838475688,0.8,5.230900359938147,6193.02978515625,53808.08004760742,0.3150249921188685,6.247767178108723
723,4,0.1560059771379222,0.5651617182775972,1.2732395447351628,45.48959459459456,9.122804005404562,0.9611650485436892,0.0520019923793074,0.9,4.855758318786067,6193.02978515625,52167.33251953125,0.30541906533902546,5.8526681636919875
724,6,0.3925637596140261,0.5367887753435626,1.909859317102744,45.48959459459456,9.129226672671736,0.941747572815534,0.1308545865380087,0.7,4.681468644938243,2326.439697265625,43479.29638671875,0.2545540556258718,5.690408637414171
725,12,0.1272971100205423,0.2480233948501528,3.819718634205488,45.48959459459456,9.13564933993891,0.883495145631068,0.0424323700068474,0.0999999999999999,3.7395662161229577,3712.418212890625,49065.86865234375,0.2872612230697371,3.903710062551662
726,19,0.3788191965298106,0.4501509651446842,6.047887837492023,45.48959459459456,9.142072007206083,0.8155339805825242,0.1262730655099369,0.0,4.010121322642517,5858.681640625,67451.201171875,0.3949000614550447,3.767228184369845
727,31,0.2025969731163801,0.2870663051351332,9.867606471697512,45.48959459459456,9.148494674473255,0.6990291262135921,0.0675323243721267,0.0,4.029473001473281,5858.681640625,98485.94921875,0.5765962165720416,3.066245802342875
728,32,0.0907513029495544,0.1486727390941886,10.185916357881302,45.48959459459456,9.15491734174043,0.6893203883495145,0.0302504343165181,0.0,4.249466843308208,12550.47265625,119037.623046875,0.6969181251033704,2.8782832906641307
729,40,0.2801934539919321,0.3106001524544348,12.732395447351628,45.48959459459456,9.161340009007604,0.6116504854368932,0.0933978179973107,0.0,4.37889936437544,19656.794921875,128887.42578125,0.7545848180242761,2.8201932137368155
730,38,0.0776321795076176,0.0879147093690366,12.095775674984043,45.48959459459456,9.167762676274778,0.6310679611650485,0.0258773931692058,0.0,3.661314209641927,14259.6181640625,96247.7958984375,0.5634927155463882,2.627781417337018
731,38,0.3317390038976917,0.450016419810464,12.095775674984043,45.48959459459456,9.174185343541952,0.6310679611650485,0.1105796679658972,0.0,3.2755509348842855,2518.361083984375,59816.6318359375,0.35020268249714953,2.9665905165237834
732,37,0.2053458476107343,0.2730471885044598,11.777465788800257,45.48959459459456,9.180608010809124,0.6407766990291262,0.0684486158702447,0.0,3.251212282303111,2518.361083984375,63968.822265625,0.37451211253499955,2.836901259597484
733,42,0.0865790022441073,0.1090976669023348,13.36901521971921,45.48959459459456,9.1870306780763,0.5922330097087378,0.0288596674147024,0.0,3.2913255790780234,12303.2490234375,81306.244140625,0.476015849235901,2.484370708493761
734,47,0.105133333984732,0.1872430094661132,14.960564650638162,45.48959459459456,9.193453345343473,0.5436893203883495,0.0350444446615773,0.0,3.5271857460995437,7521.54736328125,101970.1474609375,0.5969948169832544,2.314935060199707
735,45,0.2206676710753883,0.259844246971036,14.32394487827058,45.48959459459456,9.199876012610646,0.5631067961165048,0.0735558903584627,0.0,3.539076671186728,8637.5927734375,92752.5673828125,0.543029537253942,2.5466507458998704
736,51,0.1817606608749258,0.3413753034820435,16.233804195373324,45.48959459459456,9.20629867987782,0.5048543689320388,0.0605868869583086,0.0,3.6831651967780106,8637.5927734375,113121.3134765625,0.6622804763689893,2.26176502356139
737,52,0.0856752732208918,0.1187301293742146,16.552114081557114,45.48959459459456,9.212721347144994,0.4951456310679611,0.0285584244069639,0.0,3.9342884452074713,18087.03125,134548.0322265625,0.7877254262608987,2.0948162218997006
738,57,0.0342561713902952,0.0869371854182932,18.14366351247607,45.48959459459456,9.219144014412167,0.4466019417475727,0.011418723796765,0.0,4.205313698127254,17386.021484375,161198.0234375,0.943750567164747,1.8320826621773512
739,64,0.077085443991364,0.1196595609050926,20.371832715762604,45.48959459459456,9.22556668167934,0.378640776699029,0.0256951479971213,0.0,4.213007774088451,22374.4921875,170805.75,1.0,1.6173436987846015
740,53,0.1161572798990121,0.1373331012005935,16.870423967740905,45.48959459459456,9.231989348946517,0.4854368932038835,0.0387190932996707,0.0,4.4456879769866555,22374.4921875,163587.5,0.9577400058253308,2.0966239460142173
741,37,0.2207950598494256,0.2705190563657894,11.777465788800257,45.48959459459456,9.238412016213688,0.6407766990291262,0.0735983532831418,0.0,4.379622020595796,16141.66015625,127335.50805664062,0.7454989545529973,2.8575002092490727
742,21,0.0560306951798445,0.1870661108895591,6.684507609859605,45.48959459459456,9.244834683480862,0.7961165048543689,0.0186768983932815,0.0,3.654792896737833,10783.8408203125,68915.14893722534,0.4034708956649606,3.259173612990602
743,9,0.3202007092978264,0.4731621486548156,2.864788975654116,45.48959459459456,9.251257350748036,0.912621359223301,0.1067335697659421,0.4,3.902127151473709,106.01972198486328,25282.801738739014,0.14802078816865952,4.877419715956973
744,2,0.8140576830234441,0.9311275429867112,0.6366197723675814,45.48959459459456,9.25768001801521,0.9805825242718448,0.2713525610078147,1.0,4.806010583150018,1214.2318115234375,2858.4528617858887,0.01673510910367999,7.007740341118637
748,1,0.5989180484764582,1.3934265132347523,0.3183098861837907,45.49409909909907,9.065,0.9902912621359224,0.1996393494921527,1.0,4.5958458150707,9.386466026306152,1483.3898754119873,0.008684660062158255,6.759722446512301
749,1,0.1288804566355343,1.1984179379715594,0.3183098861837907,45.49409909909907,9.071422667267171,0.9902912621359224,0.0429601522118447,1.0,4.166694151638274,595.853759765625,3811.240430831909,0.02231330286499084,6.1330056573910685
750,1,0.4226163439404641,1.2419501900032268,0.3183098861837907,45.49409909909907,9.077845334534349,0.9902912621359224,0.1408721146468213,1.0,4.460656727446722,1967.0106201171875,3824.146997451782,0.022388865699496545,6.524653507130975
751,1,0.9190680246553964,1.326581065561154,0.3183098861837907,45.49409909909907,9.08426800180152,0.9902912621359224,0.3063560082184654,1.0,4.967082736193596,17.13283920288086,4392.037857532501,0.025713641710144425,7.1865890814175515
752,0,1.199869111338612,1.3136219417167458,0.0,45.49409909909907,9.090690669068694,1.0,0.3999563704462039,0.5,4.771822692038664,1014.4164428710938,4096.695105552673,0.023984526900017553,6.599825481784816
753,1,0.7143371006986569,1.042363796105566,0.3183098861837907,45.49409909909907,9.097113336335868,0.9902912621359224,0.2381123668995522,1.0,5.14510598143516,1014.4164428710938,26184.242169380188,0.15329836477624545,6.9136145161419
754,2,0.2914920007381457,0.7409024178552528,0.6366197723675814,45.49409909909907,9.10353600360304,0.9805825242718448,0.0971640002460485,1.0,5.013191514833358,10129.70703125,44406.758764743805,0.25998398042655946,6.310986098071574
755,2,0.404667970369872,0.77281433228969,0.6366197723675814,45.49409909909907,9.109958670870215,0.9805825242718448,0.134889323456624,1.0,5.525050749344331,10004.232421875,67105.89012145996,0.39287840205297514,6.4618873909138745
756,5,0.6823901148821057,0.8035770261795173,1.5915494309189535,45.49409909909907,9.116381338137389,0.9514563106796116,0.2274633716273685,0.8,5.561278175564728,9269.3046875,69718.30271911621,0.40817304288126255,6.315678729227922
757,6,0.205098345189377,0.4450363365959879,1.909859317102744,45.49409909909907,9.122804005404562,0.941747572815534,0.0683661150631256,0.7,4.787632763177617,9269.3046875,60197.167236328125,0.35243056651387983,5.440454751514638
758,13,0.2689944430268843,0.3882485661428911,4.138028520389279,45.49409909909907,9.129226672671736,0.8737864077669903,0.0896648143422947,0.0,3.7731622899397657,4203.724609375,50262.9296875,0.29426954120397003,3.853804888437141
759,15,0.2073322810245889,0.3282970585944295,4.7746482927568605,45.49409909909907,9.13564933993891,0.8543689320388349,0.0691107603415296,0.0,3.8671079887967674,5542.49169921875,62439.11865234375,0.36555630388522486,3.693918769521458
760,22,0.0539827988323214,0.1631665285114335,7.002817496043395,45.49409909909907,9.142072007206083,0.7864077669902912,0.0179942662774404,0.0,3.9695891465330875,15524.5732421875,88613.05786132812,0.5187943489099642,3.217608133070927
761,24,0.0785911905410307,0.2069473300129328,7.639437268410976,45.49409909909907,9.148494674473255,0.7669902912621359,0.0261970635136769,0.0,4.560432274346715,15524.5732421875,124168.390625,0.7269567366730921,3.1727494191032513
762,26,0.1440927437332416,0.1656768697549656,8.276057040778557,45.49409909909907,9.15491734174043,0.7475728155339806,0.0480309145777472,0.0,4.5625704684186195,18901.130859375,123877.3984375,0.7252530926944789,3.182414920446911
763,28,0.1298990377774668,0.246659027394256,8.91267681314614,45.49409909909907,9.161340009007604,0.7281553398058251,0.0432996792591556,0.0,4.393467095667373,8480.0205078125,118374.1943359375,0.6930340128241438,3.085820076259923
764,23,0.2840518910494171,0.3259564330241472,7.321127382227186,45.49409909909907,9.167762676274778,0.7766990291262136,0.094683963683139,0.0,4.075304752524235,8572.5029296875,83191.26928710938,0.48705192469872577,3.4855319712374113
765,30,0.1719510056995788,0.4515108891801365,9.54929658551372,45.49409909909907,9.174185343541952,0.7087378640776698,0.0573170018998596,0.0,3.3826288389042403,6325.72412109375,61744.24267578125,0.361488080323884,3.064219463910118
766,31,0.1662202600471645,0.1806028019781035,9.867606471697512,45.49409909909907,9.180608010809124,0.6990291262135921,0.0554067533490548,0.0,3.596712356451212,6325.72412109375,75917.73095703125,0.4444682392544235,3.017743518250588
767,46,0.0733861722783153,0.1655075365654312,14.642254764454371,45.49409909909907,9.1870306780763,0.5533980582524272,0.0244620574261051,0.0,3.4123824225361106,16637.431640625,95583.01586914062,0.5596006918335046,2.3114404627141294
