cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score
0,0,5.9770251342802245,6.006142098097681,0.0,45.395,9.065,1.0,1.0,0.5,9.0
1,0,5.713191296435416,5.825071538219407,0.0,45.395,9.071422667267173,1.0,1.0,0.5,9.0
2,0,5.3837218197498276,5.567493419373812,0.0,45.395,9.077845334534347,1.0,1.0,0.5,9.0
3,0,5.0827038184665865,5.33122410435914,0.0,45.395,9.08426800180152,1.0,1.0,0.5,9.0
4,0,4.81547580527538,5.086161369235255,0.0,45.395,9.090690669068694,1.0,1.0,0.5,9.0
5,0,4.587945948252786,4.880652497536839,0.0,45.395,9.097113336335868,1.0,1.0,0.5,9.0
6,0,4.40626831895223,4.671506741485113,0.0,45.395,9.103536003603041,1.0,1.0,0.5,9.0
7,0,4.276290993974291,4.477134950285084,0.0,45.395,9.109958670870215,1.0,1.0,0.5,9.0
8,0,4.202813406623773,4.2824550684210445,0.0,45.395,9.116381338137389,1.0,1.0,0.5,9.0
9,0,3.8640890326424855,4.082566294191021,0.0,45.395,9.122804005404562,1.0,1.0,0.5,9.0
10,0,3.5263945594560977,3.8155031687610936,0.0,45.395,9.129226672671736,1.0,1.0,0.5,9.0
11,0,3.23192847307163,3.4662606371079634,0.0,45.395,9.13564933993891,1.0,1.0,0.5,9.0
12,0,2.993475114834026,3.128910600451827,0.0,45.395,9.142072007206083,1.0,0.9978250382780086,0.5,8.991300153112036
13,0,2.825252806859993,2.839263140866715,0.0,45.395,9.148494674473257,1.0,0.9417509356199977,0.5,8.767003742479991
14,0,2.5288661810114985,2.6116332362820525,0.0,45.395,9.15491734174043,1.0,0.8429553936704995,0.5,8.371821574681999
15,0,2.273814764052807,2.378993787858972,0.0,45.395,9.161340009007604,1.0,0.757938254684269,0.5,8.031753018737076
16,0,2.1097359122846866,2.2274542507865256,0.0,45.395,9.167762676274778,1.0,0.7032453040948955,0.5,7.8129812163795815
17,0,2.0584995217687823,2.1834210988142826,0.0,45.395,9.174185343541952,1.0,0.6861665072562607,0.5,7.744666029025043
18,0,2.1282710276678545,2.253220955766861,0.0,45.395,9.180608010809125,1.0,0.7094236758892848,0.5,7.83769470355714
19,0,1.9332151888158438,2.208729266452369,0.0,45.395,9.1870306780763,1.0,0.6444050629386145,0.5,7.577620251754459
20,0,1.4303746067047596,2.2052659350683093,0.0,45.395,9.193453345343473,1.0,0.4767915355682532,0.5,6.907166142273012
21,1,0.9276164234746965,2.2319880850152187,0.3183098861837907,45.395,9.199876012610646,0.9883720930232558,0.3092054744915655,1.0,7.190310270059285
22,1,0.42523301212618797,2.2804389198781645,0.3183098861837907,45.395,9.20629867987782,0.9883720930232558,0.141744337375396,1.0,6.520465721594608
23,1,0.08381035938694419,2.361144346251282,0.3183098861837907,45.395,9.212721347144994,0.9883720930232558,0.02793678646231473,1.0,6.065235517942282
24,1,0.5823018250212463,2.6045174571049645,0.3183098861837907,45.395,9.219144014412167,0.9883720930232558,0.19410060834041543,1.0,6.729890805454685
25,0,1.0848856297943648,2.891660055637536,0.0,45.395,9.225566681679341,1.0,0.36162854326478827,0.5,6.446514173059153
26,0,1.5876801988868101,3.2156197929868484,0.0,45.395,9.231989348946515,1.0,0.5292267329622701,0.5,7.116906931849081
27,0,2.090533462892481,3.4085016341421146,0.0,45.395,9.238412016213688,1.0,0.696844487630827,0.5,7.787377950523307
28,0,2.59341127755722,3.541933286339608,0.0,45.395,9.244834683480862,1.0,0.8644704258524066,0.5,8.457881703409626
29,0,3.096301678486433,3.7171013209276396,0.0,45.395,9.251257350748036,1.0,1.0,0.5,9.0
30,0,3.5991993873858896,3.933659799159282,0.0,45.395,9.25768001801521,1.0,1.0,0.5,9.0
31,0,4.102101713877586,4.189456139345377,0.0,45.395,9.264102685282383,1.0,1.0,0.5,9.0
32,0,4.37375644614103,4.480968705179815,0.0,45.395,9.270525352549557,1.0,1.0,0.5,9.0
33,0,4.60746562398076,4.722324378931362,0.0,45.395,9.27694801981673,1.0,1.0,0.5,9.0
34,0,5.47783400796564,5.51933515406398,0.0,45.399504504504506,9.065,1.0,1.0,0.5,9.0
35,0,5.357057948594146,5.410205903720211,0.0,45.399504504504506,9.071422667267173,1.0,1.0,0.5,9.0
36,0,5.004224839041179,5.1476130505402375,0.0,45.399504504504506,9.077845334534347,1.0,1.0,0.5,9.0
37,0,4.678881712034043,4.902000553347736,0.0,45.399504504504506,9.08426800180152,1.0,1.0,0.5,9.0
38,0,4.387148662999281,4.645213952905782,0.0,45.399504504504506,9.090690669068694,1.0,1.0,0.5,9.0
39,0,4.136143639271142,4.419158591348806,0.0,45.399504504504506,9.097113336335868,1.0,1.0,0.5,9.0
40,0,3.9336708719891424,4.227849895166559,0.0,45.399504504504506,9.103536003603041,1.0,1.0,0.5,9.0
41,0,3.7875216666060707,4.027701904756848,0.0,45.399504504504506,9.109958670870215,1.0,1.0,0.5,9.0
42,0,3.704368468377098,3.865709260455939,0.0,45.399504504504506,9.116381338137389,1.0,1.0,0.5,9.0
43,0,3.5279367450063006,3.6508941811947078,0.0,45.399504504504506,9.122804005404562,1.0,1.0,0.5,9.0
44,0,3.154490532873734,3.4181945376266003,0.0,45.399504504504506,9.129226672671736,1.0,1.0,0.5,9.0
45,0,2.8215016781285858,3.1214935948753815,0.0,45.399504504504506,9.13564933993891,1.0,0.9405005593761953,0.5,8.762002237504781
46,0,2.5449010358945032,2.7701886536487663,0.0,45.399504504504506,9.142072007206083,1.0,0.8483003452981678,0.5,8.393201381192672
47,0,2.3447300953218395,2.440807136066103,0.0,45.399504504504506,9.148494674473257,1.0,0.7815766984406132,0.5,8.126306793762453
48,0,2.140381436164112,2.174393114677919,0.0,45.399504504504506,9.15491734174043,1.0,0.7134604787213706,0.5,7.853841914885483
49,0,1.833049908510371,1.9313056155681523,0.0,45.399504504504506,9.161340009007604,1.0,0.6110166361701237,0.5,7.444066544680496
50,0,1.6250788148155841,1.7415018006670095,0.0,45.399504504504506,9.167762676274778,1.0,0.5416929382718614,0.5,7.1667717530874455
51,0,1.557989982334585,1.6848182720179536,0.0,45.399504504504506,9.174185343541952,1.0,0.5193299941115284,0.5,7.077319976446113
52,0,1.6490684826677287,1.7730077727833404,0.0,45.399504504504506,9.180608010809125,1.0,0.5496894942225762,0.5,7.198757976890305
53,0,1.8754101895107755,1.9292517887949447,0.0,45.399504504504506,9.1870306780763,1.0,0.6251367298369251,0.5,7.5005469193477
54,0,1.5249202318753494,1.9654508954476355,0.0,45.399504504504506,9.193453345343473,1.0,0.5083067439584498,0.5,7.0332269758337995
55,0,1.0676968730085123,2.022753040536951,0.0,45.399504504504506,9.199876012610646,1.0,0.35589895766950413,0.5,6.423595830678016
56,1,0.6785141817548807,2.1289183454871545,0.3183098861837907,45.399504504504506,9.20629867987782,0.9883720930232558,0.22617139391829355,1.0,6.858173947766197
57,1,0.5353469571650876,2.183060320531885,0.3183098861837907,45.399504504504506,9.212721347144994,0.9883720930232558,0.17844898572169587,1.0,6.667284314979806
58,1,0.7865247757363887,2.3561399222162707,0.3183098861837907,45.399504504504506,9.219144014412167,0.9883720930232558,0.2621749252454629,1.0,7.002188073074875
59,0,1.206837216708463,2.6328827121810465,0.0,45.399504504504506,9.225566681679341,1.0,0.4022790722361543,0.5,6.609116288944618
60,0,1.6733502005152239,2.964269654125065,0.0,45.399504504504506,9.231989348946515,1.0,0.5577834001717413,0.5,7.231133600686965
61,0,2.1562828413932444,3.1017642244946106,0.0,45.399504504504506,9.238412016213688,1.0,0.7187609471310815,0.5,7.8750437885243265
62,0,2.6466621339746355,3.226240358947948,0.0,45.399504504504506,9.244834683480862,1.0,0.8822207113248784,0.5,8.528882845299513
63,0,3.141002253508543,3.3996244663989863,0.0,45.399504504504506,9.251257350748036,1.0,1.0,0.5,9.0
64,0,3.5671046315931902,3.6208700408198538,0.0,45.399504504504506,9.25768001801521,1.0,1.0,0.5,9.0
65,0,3.716461328279669,3.8865613272840327,0.0,45.399504504504506,9.264102685282383,1.0,1.0,0.5,9.0
66,0,3.9249742803043417,4.074923473836058,0.0,45.399504504504506,9.270525352549557,1.0,1.0,0.5,9.0
67,0,4.183808113657964,4.276746469820569,0.0,45.399504504504506,9.27694801981673,1.0,1.0,0.5,9.0
68,0,4.978931146536023,5.035131523716884,0.0,45.40400900900901,9.065,1.0,1.0,0.5,9.0
69,0,4.940937673539997,4.956537326344852,0.0,45.40400900900901,9.071422667267173,1.0,1.0,0.5,9.0
70,0,4.647722795892607,4.743016779129206,0.0,45.40400900900901,9.077845334534347,1.0,1.0,0.5,9.0
71,0,4.295491287132033,4.479322121252866,0.0,45.40400900900901,9.08426800180152,1.0,1.0,0.5,9.0
72,0,3.9757508619139736,4.217747024173204,0.0,45.40400900900901,9.090690669068694,1.0,1.0,0.5,9.0
73,0,3.696941405931591,3.967316336926519,0.0,45.40400900900901,9.097113336335868,1.0,1.0,0.5,9.0
74,0,3.4689462290542994,3.767475377017116,0.0,45.40400900900901,9.103536003603041,1.0,1.0,0.5,9.0
75,0,3.3023069920879684,3.574594603747714,0.0,45.40400900900901,9.109958670870215,1.0,1.0,0.5,9.0
76,0,3.2066035545160863,3.4101160765423573,0.0,45.40400900900901,9.116381338137389,1.0,1.0,0.5,9.0
77,0,3.1882303244234524,3.237628887213971,0.0,45.40400900900901,9.122804005404562,1.0,1.0,0.5,9.0
78,0,2.8226616829928304,3.016496500506458,0.0,45.40400900900901,9.129226672671736,1.0,0.9408872276642768,0.5,8.763548910657107
79,0,2.4449209218728423,2.7462036454942904,0.0,45.40400900900901,9.13564933993891,1.0,0.8149736406242808,0.5,8.259894562497124
80,0,2.119765514851134,2.436080371501833,0.0,45.40400900900901,9.142072007206083,1.0,0.706588504950378,0.5,7.826354019801513
81,0,1.8747590664706815,2.0835989647224245,0.0,45.40400900900901,9.148494674473257,1.0,0.6249196888235605,0.5,7.4996787552942425
82,0,1.744014185301958,1.7696848536804424,0.0,45.40400900900901,9.15491734174043,1.0,0.5813380617673193,0.5,7.325352247069278
83,0,1.4321897309317284,1.5166882896170488,0.0,45.40400900900901,9.161340009007604,1.0,0.4773965769772428,0.5,6.909586307908971
84,0,1.154137671411209,1.2668746505037072,0.0,45.40400900900901,9.167762676274778,1.0,0.3847125571370697,0.5,6.538850228548279
85,0,1.0575927218464112,1.187816988094173,0.0,45.40400900900901,9.174185343541952,1.0,0.35253090728213704,0.5,6.410123629128548
86,0,1.187675557106966,1.2905679271123287,0.0,45.40400900900901,9.180608010809125,1.0,0.39589185236898866,0.5,6.583567409475954
87,0,1.4860169425829477,1.4975903834340392,0.0,45.40400900900901,9.1870306780763,1.0,0.49533898086098255,0.5,6.98135592344393
88,0,1.7526359625086103,1.7834820987381175,0.0,45.40400900900901,9.193453345343473,1.0,0.5842119875028701,0.5,7.33684795001148
89,0,1.3859075452754592,1.9020425769275857,0.0,45.40400900900901,9.199876012610646,1.0,0.4619691817584864,0.5,6.847876727033945
90,0,1.114090932466979,1.995808601144044,0.0,45.40400900900901,9.20629867987782,1.0,0.37136364415565964,0.5,6.485454576622639
91,0,1.0331637257464545,2.0224391947163416,0.0,45.40400900900901,9.212721347144994,1.0,0.3443879085821515,0.5,6.377551634328606
92,0,1.1829732711841663,2.17815454369801,0.0,45.40400900900901,9.219144014412167,1.0,0.39432442372805543,0.5,6.577297694912222
93,0,1.4957252528792486,2.440972120613194,0.0,45.40400900900901,9.225566681679341,1.0,0.4985750842930829,0.5,6.994300337172331
94,0,1.892282244846164,2.7656227588966384,0.0,45.40400900900901,9.231989348946515,1.0,0.6307607482820546,0.5,7.523042993128218
95,0,2.3302446090391733,2.8327422095289436,0.0,45.40400900900901,9.238412016213688,1.0,0.7767482030130578,0.5,8.106992812052232
96,0,2.790182350976738,2.940739847233054,0.0,45.40400900900901,9.244834683480862,1.0,0.9300607836589126,0.5,8.720243134635652
97,0,2.9864808084739973,3.1083047023411634,0.0,45.40400900900901,9.251257350748036,1.0,0.9954936028246658,0.5,8.981974411298664
98,0,3.0824311406367664,3.281409902610349,0.0,45.40400900900901,9.25768001801521,1.0,1.0,0.5,9.0
99,0,3.2540965923010985,3.450396747102095,0.0,45.40400900900901,9.264102685282383,1.0,1.0,0.5,9.0
100,0,3.4903232369245876,3.61928899889786,0.0,45.40400900900901,9.270525352549557,1.0,1.0,0.5,9.0
101,0,3.7790232501537306,3.844575146987976,0.0,45.40400900900901,9.27694801981673,1.0,1.0,0.5,9.0
102,0,4.480412980550686,4.554296668398654,0.0,45.40851351351351,9.065,1.0,1.0,0.5,9.0
103,0,4.459933505279921,4.467749638993629,0.0,45.40851351351351,9.071422667267173,1.0,1.0,0.5,9.0
104,0,4.3055699064640205,4.33040113838608,0.0,45.40851351351351,9.077845334534347,1.0,1.0,0.5,9.0
105,0,3.9385039374384054,4.070758858300631,0.0,45.40851351351351,9.08426800180152,1.0,1.0,0.5,9.0
106,0,3.5871120691391005,3.8083279205581935,0.0,45.40851351351351,9.090690669068694,1.0,1.0,0.5,9.0
107,0,3.275412016494641,3.5288871917797002,0.0,45.40851351351351,9.097113336335868,1.0,1.0,0.5,9.0
108,0,3.015736381473377,3.3023908879135946,0.0,45.40851351351351,9.103536003603041,1.0,1.0,0.5,9.0
109,0,2.822481025834881,3.1342708257562055,0.0,45.40851351351351,9.109958670870215,1.0,0.940827008611627,0.5,8.763308034446508
110,0,2.7098936401600597,2.9479709937276835,0.0,45.40851351351351,9.116381338137389,1.0,0.9032978800533532,0.5,8.613191520213414
111,0,2.6881292985724623,2.8349560642176646,0.0,45.40851351351351,9.122804005404562,1.0,0.8960430995241541,0.5,8.584172398096616
112,0,2.546622301007386,2.6407840834441414,0.0,45.40851351351351,9.129226672671736,1.0,0.8488741003357952,0.5,8.39549640134318
