cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score
0,0,4.9756166923735,5.422670335117488,0.0,45.395,9.065,1.0,1.0,0.5,9.0
1,0,4.980373916550021,5.326489663585434,0.0,45.395,9.071422667267173,1.0,1.0,0.5,9.0
2,0,5.035567088673492,5.07876794605137,0.0,45.395,9.077845334534347,1.0,1.0,0.5,9.0
3,0,4.721022408890516,4.766634301331266,0.0,45.395,9.08426800180152,1.0,1.0,0.5,9.0
4,0,4.366690711180401,4.417358095604654,0.0,45.395,9.090690669068694,1.0,1.0,0.5,9.0
5,0,4.043940507779302,4.100084216388979,0.0,45.395,9.097113336335868,1.0,1.0,0.5,9.0
6,0,3.7609189418945475,3.8227908470256207,0.0,45.395,9.103536003603041,1.0,1.0,0.5,9.0
7,0,3.5272024541152036,3.5947510702197234,0.0,45.395,9.109958670870215,1.0,1.0,0.5,9.0
8,0,3.28735976769525,3.3312125605952314,0.0,45.395,9.116381338137389,1.0,1.0,0.5,9.0
9,0,2.80828909835935,3.1016243748247483,0.0,45.395,9.122804005404562,1.0,0.9360963661197833,0.5,8.744385464479134
10,0,2.339233795688159,2.8958007641239036,0.0,45.395,9.129226672671736,1.0,0.7797445985627197,0.5,8.11897839425088
11,0,1.8876746357386571,2.415177610192489,0.0,45.395,9.13564933993891,1.0,0.6292248785795523,0.5,7.51689951431821
12,0,1.4698265240100064,1.9406914120074472,0.0,45.395,9.142072007206083,1.0,0.4899421746700021,0.5,6.9597686986800085
13,0,1.1239386996873029,1.490236937843411,0.0,45.395,9.148494674473257,1.0,0.37464623322910096,0.5,6.498584932916404
14,1,0.9337344944008837,1.091780012032917,0.3183098861837907,45.395,9.15491734174043,0.9939759036144579,0.31124483146696125,1.0,7.2208829403256765
15,5,0.6157431231808554,0.7090122557315066,1.5915494309189535,45.395,9.161340009007604,0.9698795180722891,0.2052477077269518,0.8,6.300508903196964
16,23,0.121255354060352,0.21426053502453693,7.321127382227186,45.395,9.167762676274778,0.8614457831325302,0.040418451353450666,0.0,3.6074569379439234
17,24,0.11374236930804728,0.2067596882981638,7.639437268410976,45.395,9.174185343541952,0.8554216867469879,0.037914123102682426,0.0,3.5733432393986817
18,26,0.3879178246749202,0.39972855152266823,8.276057040778557,45.395,9.180608010809125,0.8433734939759037,0.12930594155830674,0.0,3.8907177421368417
