cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score,population,population_1km,demand_score,opportunity_score_original
17,1,0.3198243221969498,1.1636999460557058,0.3183098861837907,45.395,9.174185343541952,0.9772727272727272,0.1066081073989832,1.0,0.0,6.499759197235107,25.99903678894043,0.0,6.335523338686842
18,1,0.5859004337787314,1.3179371286886423,0.3183098861837907,45.395,9.180608010809124,0.9772727272727272,0.1953001445929104,1.0,0.0,6.499759197235107,50.52651596069336,0.0,6.690291487462552
19,0,1.0440998756810582,1.5255231457170613,0.0,45.395,9.1870306780763,1.0,0.3480332918936861,0.5,0.0,12.263739585876465,38.84591722488403,0.0,6.392133167574744
20,0,1.3381695925423769,1.4270560317112786,0.0,45.395,9.193453345343473,1.0,0.4460565308474589,0.5,4.860453645606671,0.6594598293304443,1268.7481322288513,0.007428017688098037,6.7842261233898355
22,2,0.3730182161300031,1.1011237795561453,0.6366197723675814,45.395,9.20629867987782,0.9545454545454546,0.1243394053766677,1.0,4.356566621004413,1242.9017333984375,6827.2220458984375,0.039970680412681876,6.315539439688489
51,2,0.8203182887594584,0.9972916634381268,0.6366197723675814,45.399504504504506,9.174185343541952,0.9545454545454546,0.2734394295864861,1.0,4.859828755846807,6.499759197235107,10013.43604850769,0.058624701150328314,6.911939536527763
52,2,0.9559783837012076,1.1362355130430164,0.6366197723675814,45.399504504504506,9.180608010809124,0.9545454545454546,0.3186594612337359,1.0,4.8746146952995275,6.499759197235107,3131.4357872009277,0.018333315987318504,7.092819663116763
53,0,1.2886817164061628,1.4502704401837612,0.0,45.399504504504506,9.1870306780763,1.0,0.4295605721353876,0.5,4.818413490926731,12.263739585876465,1692.7860152721405,0.009910591506855831,6.718242288541551
54,0,1.3587181724428188,1.5180709485960937,0.0,45.399504504504506,9.193453345343473,1.0,0.4529060574809396,0.5,4.892068732009777,0.6594598293304443,1898.8224465847015,0.011116853188986328,6.811624229923758
55,1,0.876074786921999,1.3538731322198398,0.3183098861837907,45.399504504504506,9.199876012610646,0.9772727272727272,0.2920249289739997,1.0,4.887753804012981,1242.9017333984375,4546.896621465683,0.026620278424266647,7.077190624986908
56,2,0.4412380507546143,1.2324172963426587,0.6366197723675814,45.399504504504506,9.20629867987782,0.9545454545454546,0.1470793502515381,1.0,4.441424975405104,1242.9017333984375,7774.540328979492,0.04551685367137519,6.406499219187971
