place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJIfw4j3fPhkcRUPRJCVroXHc,Farmacia Comunale N. 4,pharmacy,45.413076,9.2755498,4.1,38.0,,"Via Europa, 7, San Donato Milanese",milan,2026-02-03T22:20:49.091742
ChIJAQVW4CXohkcRBP0LoFf5g5Q,Farmacia Comunale,pharmacy,45.41911839999999,9.070171099999998,4.0,13.0,,"Viale Indipendenza, 14, Trezzano sul Naviglio",milan,2026-02-03T22:20:50.323930
ChIJcRhv4CXohkcRoS8UqkJ1Pu4,Global Health Distribution Srl,pharmacy,45.4190088,9.070223300000002,,,,"Viale Indipendenza, 12, Trezzano sul Naviglio",milan,2026-02-03T22:20:50.323963
ChIJ4WoFrCfohkcRcVpjooGjlrQ,Farmacia Gerardis,pharmacy,45.4187894,9.074472499999999,4.5,69.0,,"Via Marchesina, 11, Trezzano sul Naviglio",milan,2026-02-03T22:20:50.438925
ChIJQ1ctPvDChkcRctKp0OCvJAw,FARMACIA EMILIA BUCCINASCO (MI),pharmacy,45.4180245,9.109528899999999,4.7,30.0,,"Via Romagna, 1, Buccinasco",milan,2026-02-03T22:20:50.813626
ChIJF378I_zChkcRiH0kzjvYODs,Farmacia Marischi di Giorgia Ratti,pharmacy,45.4183275,9.1099384,,,,"Via Emilia, 1, Buccinasco",milan,2026-02-03T22:20:50.903366
ChIJa-1Vx_3ChkcRR_Fg7F4OihA,Farmacia Dott. Paolo Carnelli,pharmacy,45.4198864,9.120875999999999,4.3,25.0,,"Viale Lomellina, 5, Buccinasco",milan,2026-02-03T22:20:51.009940
ChIJ4V6m1YDEhkcRCNSHyG6rfNM,Azienda Farmacie Milanesi S.P.A.,pharmacy,45.41876630000001,9.1745628,3.0,5.0,,"Via Guido de Ruggiero, 8, Milano",milan,2026-02-03T22:20:52.591967
ChIJG4AxpojEhkcRdidqt1doEPc,Farmacia Quai Dr. Arduino G.,pharmacy,45.4181491,9.178093299999999,4.7,50.0,,"Via Fratelli Fraschini, 8, Milano",milan,2026-02-03T22:20:52.591994
ChIJF9b504bEhkcRzUqrxSVCwk0,Farmacia Comunale,pharmacy,45.4188073,9.1745732,4.1,39.0,,"Via Guido de Ruggiero, 8, Milano",milan,2026-02-03T22:20:52.591999
ChIJ_drbLYfFhkcRiJXm750f8u8,Farmacia Metanopoli Dr. Mulas,pharmacy,45.41932979999999,9.2598354,4.3,105.0,,"Via Monte Bianco, 10, San Donato Milanese",milan,2026-02-03T22:20:55.506164
ChIJsXs1_DDohkcRcey4gPyeNt0,Farmacia Zingone,pharmacy,45.4230812,9.0625314,4.5,58.0,,"Via Giuseppe Garibaldi, 8, Trezzano sul Naviglio",milan,2026-02-03T22:20:55.794799
ChIJ84WNajHohkcRepnmaYaOr-U,Tamoil,pharmacy,45.424359,9.0612239,4.0,105.0,,"VIA MAZZINI, Via Donato Bramante, 12, Trezzano sul Naviglio",milan,2026-02-03T22:20:55.794815
ChIJx4XQwPXChkcR7RNcXaUkg4Q,Farmacia Trieste,pharmacy,45.4253296,9.1058952,4.6,50.0,,"Via Trieste, 24, Buccinasco",milan,2026-02-03T22:20:57.221693
ChIJYYN3t_nChkcRxZgruZPS8Fg,Farmacia Comunale 2,pharmacy,45.42326749999999,9.1139934,3.2,18.0,,"Via Don Giovanni Minzoni, 5, Buccinasco",milan,2026-02-03T22:20:57.334728
ChIJt49tZv7ChkcRLDxBnfS51ow,Farmacia Comunale 1 di Buccinasco,pharmacy,45.4219094,9.121132300000001,3.8,120.0,,"Via Marzabotto, 1, Buccinasco",milan,2026-02-03T22:20:57.447772
ChIJk_4BUlrEhkcRqAHZHTq4O3c,BENU Farmacia Milano N. 76,pharmacy,45.4253372,9.2046537,3.6,40.0,,"Via Federico Chopin, 111, Milano",milan,2026-02-03T22:20:59.309871
ChIJWa45WQPPhkcRQbhlGPFZI5U,Farmacia Santa Barbara,pharmacy,45.4237128,9.2653559,3.9,78.0,,"Via Alfonsine, 22, San Donato Milanese",milan,2026-02-03T22:21:00.901632
ChIJYZci2yzohkcRiBD8y9evONU,Faset S.r.l.,pharmacy,45.4288049,9.070803999999997,3.7,3.0,,"Via Carlo Goldoni, 13, Trezzano sul Naviglio",milan,2026-02-03T22:21:01.214134
ChIJKQuxgizohkcRTw-CX2lsLCo,Nanogen Advanced Diagnostics S.r.l.,pharmacy,45.42774850000001,9.0729264,,,,"Viale Cristoforo Colombo, 49, Trezzano sul Naviglio",milan,2026-02-03T22:21:01.214149
ChIJwdFzLtrDhkcRKHM2lMDObCQ,Farmacia Naviglio,pharmacy,45.42827640000001,9.100557499999997,4.6,59.0,,"Via Vittorio Veneto, 1, Corsico",milan,2026-02-03T22:21:02.509867
ChIJt5ysyV_ChkcRL7M5LHlD1y4,Farmacia Unica Prati,pharmacy,45.42878839999999,9.1034916,4.1,31.0,,"Piazza Fratelli Cervi, 8, Corsico",milan,2026-02-03T22:21:02.618886
ChIJqYfvW1nChkcRV1txxp61YBI,Farmacie Comunali Corsichesi Spa,pharmacy,45.4305959,9.1099474,3.9,24.0,,"Via Camillo Benso Cavour, 94, Corsico",milan,2026-02-03T22:21:02.729262
ChIJyQUuR4fDhkcRYiQhgJeDltU,BENU Farmacia Milano N. 40,pharmacy,45.4271964,9.170405299999999,3.5,40.0,,"Via della Chiesa Rossa, 95, Milano",milan,2026-02-03T22:21:04.299334
ChIJg06LXXnEhkcRKPWxBCT2KCs,Lafarmacia. Boifava,pharmacy,45.4270787,9.176427000000002,3.8,127.0,,"Via Pietro Boifava, 31/B, Milano",milan,2026-02-03T22:21:04.401049
ChIJu5Qtu3DEhkcRz1ufCNjlZX0,Farmacia Chiesa Rossa - Lumini Dr. Norberto - Milano,pharmacy,45.43090399999999,9.179763699999997,4.3,40.0,,"Via Medeghino, 27, Milano",milan,2026-02-03T22:21:04.501625
ChIJQSMW6UTEhkcRWzLe7g999tE,Farmacia Val Di Sole,pharmacy,45.4295279,9.202552200000001,4.1,51.0,,"Via Val di Sole, 22, Milano",milan,2026-02-03T22:21:04.738815
ChIJHaYP34nFhkcRSwtZehOWzxw,Farmacia Comunale 3,pharmacy,45.4266606,9.264331,3.3,41.0,,"Via Triulziana, 14, San Donato Milanese",milan,2026-02-03T22:21:06.347928
ChIJ33eXYmXPhkcRH3uuGstz-ew,La Zootecnica Group,pharmacy,45.4286512,9.271663199999999,4.5,1676.0,,"Via Fiume Lambro, 3, San Donato Milanese",milan,2026-02-03T22:21:07.476655
ChIJQ4T8D3zChkcRG3_SOIdVMOc,Farmacia Tessera Dott. Giacomo Martinoli,pharmacy,45.4324836,9.08703,4.7,76.0,,"Via Fratelli Rosselli, 1, Cesano Boscone",milan,2026-02-03T22:21:07.874898
ChIJNzMNaFzChkcRb4q8szASCNA,Farmacia Corneliani,pharmacy,45.4328369,9.108171699999998,4.6,47.0,,"Via Vittorio Emanuele II, 22, Corsico",milan,2026-02-03T22:21:08.124514
ChIJCw3TOFrChkcRwlwuXRD8vqE,Farmacia Dante,pharmacy,45.43186179999999,9.1134431,4.0,64.0,,"Via dei Gigli, 11, Corsico",milan,2026-02-03T22:21:08.242294
ChIJE0T2u5XDhkcRaPUnux6G1Xg,Canna Store,pharmacy,45.4327901,9.110915499999999,,,,"Via Vittorio Alfieri, 1, Corsico",milan,2026-02-03T22:21:08.242338
ChIJoawV5lDChkcRk-bV_t9ac8A,Farmacia F.lli Stilo del Dott. Domenico Stilo,pharmacy,45.4325132,9.1202255,4.1,75.0,,"Via degli Alpini, Buccinasco",milan,2026-02-03T22:21:09.368655
ChIJ99Zy2pnDhkcRBvtfFzuc2HA,BENU Farmacia Milano N. 84,pharmacy,45.43187169999999,9.1536767,3.5,35.0,,"Via Agostino de Pretis, 1, Milano",milan,2026-02-03T22:21:09.727305
ChIJL-oDaYXDhkcRifGAeP4M_2o,Farmacia Comunale Milano N. 56,pharmacy,45.4311035,9.1629082,3.7,26.0,,"Via San Paolino, 18, Milano",milan,2026-02-03T22:21:09.903208
ChIJvSos7HbEhkcR-SJbLSLk_ic,Farmacia Montegani dal 1911,pharmacy,45.4339161,9.177589500000002,3.8,72.0,,"Via Anton Giulio Barrili, 20, Milano",milan,2026-02-03T22:21:10.087264
ChIJZzLsbUHEhkcR5A1K1UFmSTo,Farmacia Rocchi Di Rocchi Alessandro,pharmacy,45.4342993,9.200794100000001,4.4,29.0,,"Via Luigi Alamanni, 2, Milano",milan,2026-02-03T22:21:11.390114
