cell_id,services_within_walking,nearest_distance_km,avg_distance_top3_km,density_per_km2,center_lat,center_lng,competition_gap,accessibility_gap,viability,opportunity_score
0,0,2.563154339503145,2.657848851371703,0.0,45.395,9.065,1.0,0.8543847798343817,0.5,8.417539119337526
1,0,2.3095963892091507,2.5447619069608236,0.0,45.395,9.071422667267173,1.0,0.7698654630697169,0.5,8.079461852278868
2,0,2.1457843871940487,2.512373532268145,0.0,45.395,9.077845334534347,1.0,0.7152614623980162,0.5,7.861045849592064
3,0,2.0928988600962843,2.5772662567562254,0.0,45.395,9.08426800180152,1.0,0.6976329533654281,0.5,7.790531813461713
4,0,2.15910640990298,2.6818709821473754,0.0,45.395,9.090690669068694,1.0,0.7197021366343267,0.5,7.878808546537307
5,0,2.334295436871772,2.6172836137330204,0.0,45.395,9.097113336335868,1.0,0.7780984789572574,0.5,8.11239391582903
6,0,2.4098137793528798,2.5359680159011706,0.0,45.395,9.103536003603041,1.0,0.8032712597842933,0.5,8.213085039137173
7,0,1.9627744736919335,2.3626829696673086,0.0,45.395,9.109958670870215,1.0,0.6542581578973111,0.5,7.617032631589245
8,0,1.5503331287253646,2.1908821599373964,0.0,45.395,9.116381338137389,1.0,0.5167777095751215,0.5,7.067110838300486
9,0,1.2084494142253719,1.9525348033275804,0.0,45.395,9.122804005404562,1.0,0.4028164714084573,0.5,6.611265885633829
10,0,1.0114025759970933,1.6322654134869525,0.0,45.395,9.129226672671736,1.0,0.3371341919990311,0.5,6.348536767996125
11,0,1.04464748350302,1.3298979670118143,0.0,45.395,9.13564933993891,1.0,0.34821582783433996,0.5,6.39286331133736
12,1,0.9494074798678823,1.1120047860993216,0.3183098861837907,45.395,9.142072007206083,0.9772727272727273,0.31646915995596075,1.0,7.174967548914752
13,2,0.6700834344928139,0.7976946470298825,0.6366197723675814,45.395,9.148494674473257,0.9545454545454546,0.22336114483093797,1.0,6.7116263975055706
14,3,0.527511496323465,0.7331314131924812,0.954929658551372,45.395,9.15491734174043,0.9318181818181819,0.175837165441155,1.0,6.430621389037348
15,2,0.6522047655652652,0.807848450313332,0.6366197723675814,45.395,9.161340009007604,0.9545454545454546,0.21740158852175506,1.0,6.687788172268839
16,2,0.4977205421324927,0.7516698177635588,0.6366197723675814,45.395,9.167762676274778,0.9545454545454546,0.16590684737749758,1.0,6.481809207691809
17,2,0.31982432219694984,0.8097807882619441,0.6366197723675814,45.395,9.174185343541952,0.9545454545454546,0.10660810739898328,1.0,6.244614247777751
18,1,0.5859004337787314,1.0737323272924446,0.3183098861837907,45.395,9.180608010809125,0.9772727272727273,0.19530014459291045,1.0,6.690291487462552
19,0,1.0440998756810582,1.465912652488222,0.0,45.395,9.1870306780763,1.0,0.3480332918936861,0.5,6.392133167574744
20,0,1.3381695925423769,1.4270560317112786,0.0,45.395,9.193453345343473,1.0,0.44605653084745894,0.5,6.7842261233898355
21,2,0.8438033642944254,1.2595401356064333,0.6366197723675814,45.395,9.199876012610646,0.9545454545454546,0.2812677880981418,1.0,6.943252970574385
22,2,0.3730182161300031,0.9574829663742171,0.6366197723675814,45.395,9.20629867987782,0.9545454545454546,0.1243394053766677,1.0,6.315539439688489
23,2,0.10097839833010554,0.6622578249907102,0.6366197723675814,45.395,9.212721347144994,0.9545454545454546,0.03365946611003518,1.0,5.952819682621959
